dq,3,8.258
dq,2,11.048
dq,1,17.078
dq,0,19.868
drv0,3,8.888
drv0,2,11.228
drv0,1,17.708
drv0,0,20.048
drv1,3,6.998
drv1,2,10.598
drv1,1,15.818
drv1,0,19.418
drv2,3,7.628
drv2,2,10.778
drv2,1,16.448
drv2,0,19.598
enabq,3,6.368
enabq,2,9.968
enabq,1,15.188
enabq,0,18.788
enq,3,10.148
enq,2,10.418
enq,1,18.968
enq,0,19.238
outi,3,9.158
outi,2,9.338
outi,1,17.978
outi,0,18.158
pd,3,9.518
pd,2,9.788
pd,1,18.338
pd,0,18.608
ppen,3,7.898
ppen,2,8.078
ppen,1,16.718
ppen,0,16.898
prg_slew,3,8.528
prg_slew,2,8.708
prg_slew,1,17.348
prg_slew,0,17.528
puq,3,6.638
puq,2,6.818
puq,1,15.458
puq,0,15.638
pwrup_pull_en,3,7.268
pwrup_pull_en,2,7.448
pwrup_pull_en,1,16.088
pwrup_pull_en,0,16.268
pwrupzhl,3,6.008
pwrupzhl,2,6.188
pwrupzhl,1,14.828
pwrupzhl,0,15.008
